kunnr,zbrand,match,text,note
100171,049,contains,KENNEDY BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100178,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100178,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100178,025,contains,ELMER BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100178,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100178,475,contains,OEM(DRESS SIZE),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100178,498,contains,TOPMAX BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100178,524,contains,ALUSMART,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100178,058,contains,NO BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100187,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100187,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100187,021,contains,CORAI NEUTRAL,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100187,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100187,004,contains,NO MARKING,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100187,430,contains,STD BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100187,062,contains,OEM BRAND(2),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100192,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100192,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100192,004,contains,NO MARKING,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100192,062,contains,OEM BRAND(2),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100194,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100194,021,contains,CORAI NEUTRAL,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100194,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100194,058,contains,NO BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100203,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100208,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100208,021,contains,CORAI NEUTRAL,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100208,221,contains,ISCAR OLD YOURCODE,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100208,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100208,004,contains,NO MARKING,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100208,462,contains,OEM(USD) BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100208,062,contains,OEM BRAND(2),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100212,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100212,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100212,028,contains,F-BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100212,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100212,047,contains,I-BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100212,062,contains,OEM BRAND(2),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100212,095,contains,R-BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100217,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100218,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100218,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100233,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100233,212,contains,PREMIER HP BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100233,213,contains,PRO CUT II BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100233,214,contains,RAPIDKUT BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100233,215,contains,PRO CUT BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100233,004,contains,NO MARKING,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100235,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100235,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100251,111,contains,T&O BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100251,159,contains,ASTRA BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100251,160,contains,ASTRAFLY BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100251,161,contains,VADIUM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100251,162,contains,RECORVIT BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100251,163,contains,FANOCARB BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100251,164,contains,SUPERCEED BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100251,165,contains,XMAX BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100251,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100251,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100251,058,contains,NO BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100251,086,contains,OTELO BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100251,087,contains,OTMT BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100252,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100252,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100252,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100252,062,contains,OEM BRAND(2),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100254,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100254,106,contains,SOWA BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100254,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100254,521,contains,GS TOOLING,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100254,008,contains,ACCUPRO BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100264,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100264,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100264,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100264,004,contains,NO MARKING,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100264,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100265,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100265,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100269,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100269,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100282,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100293,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100293,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100293,238,contains,MONOTARO BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100293,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100293,464,contains,MONOTARO(HITACHINAKA),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100293,468,contains,OTOKOMAE,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100296,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
100296,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
102934,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103101,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103101,123,contains,NEW CENTURY BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103101,231,contains,KKK BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103101,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103101,300,contains,KOR-YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103101,406,contains,KOR-NC BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103101,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103101,058,contains,NO BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103177,004,contains,NO MARKING,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103177,088,contains,PAN AM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103577,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103631,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103658,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103658,123,contains,NEW CENTURY BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103658,058,contains,NO BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103970,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103970,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103970,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103970,004,contains,NO MARKING,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103970,432,contains,ELTECH BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
103970,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104198,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104198,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104237,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104271,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104271,432,contains,ELTECH BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104628,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104628,458,contains,GÜHRING BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104675,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104675,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104699,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104699,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104930,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104930,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104930,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104992,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104992,123,contains,NEW CENTURY BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104992,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104998,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
104998,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
105012,004,contains,NO MARKING,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
105119,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
105320,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
105420,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
105420,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
105423,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
105561,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
105864,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
105864,476,contains,SAKUSAKU BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
105871,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
106268,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
106268,233,contains,WAVE CUT BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
106359,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
106666,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
106666,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
106666,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
106975,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
106975,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
107525,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
107525,058,contains,NO BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
107546,016,contains,BORDO BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
107546,486,contains,BORDO BRAND(PACKAGE),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
107546,503,contains,BORDO BRAND(CLAMSELL&SET),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
107546,508,contains,GOLIATH BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
107790,509,contains,RECOIL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
107790,009,contains,ALCOA BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
107868,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
107868,247,contains,YG BRAND(DHL),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
107868,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
107905,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
107940,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
107940,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
108216,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
108243,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
108276,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
108465,518,contains,UTEC BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
108465,519,contains,VICTORY BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
108471,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
108509,223,contains,OEM(BOEING),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
108545,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
108588,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
2500,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
2500,123,contains,NEW CENTURY BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
2500,131,contains,PREMIER BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
2500,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
2500,300,contains,KOR-YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
2500,004,contains,NO MARKING,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
2500,406,contains,KOR-NC BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
2500,058,contains,NO BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
3000,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
3000,123,contains,NEW CENTURY BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
3000,004,contains,NO MARKING,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
3000,058,contains,NO BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
3400,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
3400,123,contains,NEW CENTURY BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
3400,128,contains,KOTA MARKING,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
3400,131,contains,PREMIER BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
3400,140,contains,OEM_NT BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
3400,180,contains,KCT BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
3400,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
3400,231,contains,KKK BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
3400,250,contains,DAIWA SHOKAI,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
3400,027,contains,EUROPA BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
3400,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
3400,406,contains,KOR-NC BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
3400,058,contains,NO BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4300,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4300,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4300,472,contains,YG(YG-1POLAND),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4300,501,contains,UNBRANDED,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4300,058,contains,NO BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,001,contains,YG BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,129,contains,OEM BRAND(21),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,149,contains,OEM BRAND(37),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,150,contains,OEM BRAND(47),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,152,contains,OEM BRAND(75고객),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,155,contains,OEM BRAND(3090고객),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,158,contains,OEM BRAND(90고객),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,167,contains,OEM BRAND(92고객),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,170,contains,OEM BRAND(48),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,177,contains,OEM BRAND(BLANK)(2),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,191,contains,OEM BRAND(31),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,194,contains,OEM BRAND(24),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,002,contains,OEM BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,203,contains,OEM BRAND(23),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,216,contains,OEM BRAND(26),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,003,contains,NEUTRAL BRAND,자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,433,contains,OEM BRAND(96고객),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,440,contains,OEM BRAND(81),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
4600,500,contains,OEM BRAND(78고객),자동 초벌 (SAP 브랜드명) — 실제 발주서 문구 확인 필요
